ITEM NO.,PART NUMBER,DESCRIPTION,QTY.
1,genevaSprocket,,2
2,lockCrank,,2
3,lockWheel,,2
4,driveCrank,,1
5,frontPlate,,1
6,57155K305,,4
7,fenderShim-0.025,,8
8,97395A410,,2
9,93365A110,,4
10,90273A070,,4
11,97395A401,,4
12,longBearing,McMaster Part # 6621K75,1
13,99040A510,McMaster Part # 93268A509,2
14,wheelSpacer,,2
15,94773A770,,2
16,93985A534,,2
17,92474A117,,1
18,91124A160,,2
19,MirrorfrontPlate,,1
20,94035A581,,1
21,93298A108,,1
22,Inch - Spur gear 24DP 66T 14.5PA 0.125FW ---S66N3.0H2.0L0.1875N,,1
23,Inch - Spur gear 24DP 24T 14.5PA 0.125FW ---S24N3.0H2.0L0.1875N,,1
24,2453K31,,1
25,91780A167,,2
26,92474A456,,1
27,90275A192,,2
28,92949A111,,4
29,HX-SHCS 0.073-72x0.5x0.5-N,,3
30,1103,Pololu Part # 1103: 29:1 Metal Gearmotor 37Dx52L mm,1
31,motorMountPlate,,1
32,91780A162,,3
33,92949A106,,15
34,92949A108,,3
35,91239A113,,6
36,Final,,1
37,RS485Breakout,,1
38,93365A120,,8
39,93505A430,,8
40,Part26^HDLayout,,1
